episode,rewards_epi,epsilon
0,-14.5,0.9999
1,-18.5,0.9998
2,-17.5,0.9997
3,-5.0,0.9996
4,-20.0,0.9995
5,-9.0,0.9994000000000001
6,-9.5,0.9993000000000001
7,-17.0,0.9992000000000001
8,-9.0,0.9991000000000001
9,-9.0,0.9990000000000001
10,-13.5,0.9989000000000001
11,-15.0,0.9988000000000001
12,-18.0,0.9987000000000001
13,-11.0,0.9986000000000002
14,-8.0,0.9985000000000002
15,-15.5,0.9984000000000002
16,-11.0,0.9983000000000002
17,-11.0,0.9982000000000002
18,-5.5,0.9981000000000002
19,-16.0,0.9980000000000002
20,-17.5,0.9979000000000002
21,-9.5,0.9978000000000002
22,-3.5,0.9977000000000003
23,-8.0,0.9976000000000003
24,-8.0,0.9975000000000003
25,-16.5,0.9974000000000003
26,-2.5,0.9973000000000003
27,-23.0,0.9972000000000003
28,-22.5,0.9971000000000003
29,-16.0,0.9970000000000003
30,-16.0,0.9969000000000003
31,-21.5,0.9968000000000004
32,-14.0,0.9967000000000004
33,-10.5,0.9966000000000004
34,-17.0,0.9965000000000004
35,-26.0,0.9964000000000004
36,-0.5,0.9963000000000004
37,-10.5,0.9962000000000004
38,-7.5,0.9961000000000004
39,-2.0,0.9960000000000004
40,-4.5,0.9959000000000005
41,-14.5,0.9958000000000005
42,-26.5,0.9957000000000005
43,-7.5,0.9956000000000005
44,-13.0,0.9955000000000005
45,-6.0,0.9954000000000005
46,-2.5,0.9953000000000005
47,-16.0,0.9952000000000005
48,-12.5,0.9951000000000005
49,-11.5,0.9950000000000006
50,-11.5,0.9949000000000006
51,-11.5,0.9948000000000006
52,-1.0,0.9947000000000006
53,-18.0,0.9946000000000006
54,-19.5,0.9945000000000006
55,-14.0,0.9944000000000006
56,-8.5,0.9943000000000006
57,-14.0,0.9942000000000006
58,-10.5,0.9941000000000006
59,-5.0,0.9940000000000007
60,-5.0,0.9939000000000007
61,-12.0,0.9938000000000007
62,-9.5,0.9937000000000007
63,-19.5,0.9936000000000007
64,-15.0,0.9935000000000007
65,-6.5,0.9934000000000007
66,-16.5,0.9933000000000007
67,-4.5,0.9932000000000007
68,-9.5,0.9931000000000008
69,-7.0,0.9930000000000008
70,-12.0,0.9929000000000008
71,-17.0,0.9928000000000008
72,-5.5,0.9927000000000008
73,-16.0,0.9926000000000008
74,-14.0,0.9925000000000008
75,-19.5,0.9924000000000008
76,-9.0,0.9923000000000008
77,-16.5,0.9922000000000009
78,-7.0,0.9921000000000009
79,-14.5,0.9920000000000009
80,-25.5,0.9919000000000009
81,-14.0,0.9918000000000009
82,-2.0,0.9917000000000009
83,-2.0,0.9916000000000009
84,-6.5,0.9915000000000009
85,-12.0,0.991400000000001
86,0.0,0.991300000000001
87,-18.5,0.991200000000001
88,-7.0,0.991100000000001
89,-8.5,0.991000000000001
90,-0.5,0.990900000000001
91,-13.0,0.990800000000001
92,-19.0,0.990700000000001
93,-7.0,0.990600000000001
94,-11.0,0.990500000000001
95,-16.0,0.9904000000000011
96,-8.0,0.9903000000000011
97,-9.0,0.9902000000000011
98,-5.5,0.9901000000000011
99,-9.0,0.9900000000000011
100,-24.0,0.9899000000000011
101,-1.5,0.9898000000000011
102,-9.5,0.9897000000000011
103,-7.5,0.9896000000000011
104,-11.5,0.9895000000000012
105,-16.5,0.9894000000000012
106,-12.5,0.9893000000000012
107,-11.0,0.9892000000000012
108,-15.0,0.9891000000000012
109,-9.5,0.9890000000000012
110,-10.5,0.9889000000000012
111,-2.0,0.9888000000000012
112,-8.5,0.9887000000000012
113,-4.5,0.9886000000000013
114,-22.5,0.9885000000000013
115,-9.0,0.9884000000000013
116,-9.0,0.9883000000000013
117,-11.5,0.9882000000000013
118,-15.5,0.9881000000000013
119,-2.5,0.9880000000000013
120,-10.0,0.9879000000000013
121,-1.0,0.9878000000000013
122,-10.5,0.9877000000000014
123,-19.5,0.9876000000000014
124,-5.5,0.9875000000000014
125,-15.0,0.9874000000000014
126,-10.5,0.9873000000000014
127,-5.5,0.9872000000000014
128,-8.0,0.9871000000000014
129,-26.0,0.9870000000000014
130,-9.0,0.9869000000000014
131,-13.5,0.9868000000000015
132,-18.0,0.9867000000000015
133,-10.0,0.9866000000000015
134,-9.0,0.9865000000000015
135,-16.0,0.9864000000000015
136,-11.0,0.9863000000000015
137,-8.0,0.9862000000000015
138,-5.5,0.9861000000000015
