episode,rewards_epi,epsilon
0,-55.0,0.9999
1,-39.5,0.9998
2,-36.0,0.9997
3,-63.5,0.9996
4,-30.5,0.9995
5,-26.0,0.9994000000000001
6,-61.0,0.9993000000000001
7,-69.0,0.9992000000000001
8,-63.5,0.9991000000000001
9,-28.5,0.9990000000000001
10,-23.5,0.9989000000000001
11,-55.0,0.9988000000000001
12,-14.0,0.9987000000000001
13,-34.0,0.9986000000000002
14,-54.5,0.9985000000000002
15,-52.0,0.9984000000000002
16,-60.5,0.9983000000000002
17,-20.0,0.9982000000000002
18,-35.0,0.9981000000000002
19,-54.5,0.9980000000000002
20,-36.0,0.9979000000000002
21,-50.5,0.9978000000000002
22,-59.5,0.9977000000000003
23,-28.0,0.9976000000000003
24,-34.5,0.9975000000000003
25,-66.5,0.9974000000000003
26,-49.0,0.9973000000000003
27,-45.5,0.9972000000000003
28,-35.5,0.9971000000000003
29,-66.0,0.9970000000000003
30,-25.0,0.9969000000000003
31,-28.0,0.9968000000000004
32,-64.0,0.9967000000000004
33,-68.5,0.9966000000000004
34,-44.0,0.9965000000000004
35,-37.5,0.9964000000000004
36,-52.0,0.9963000000000004
37,-29.0,0.9962000000000004
38,-61.0,0.9961000000000004
39,-36.5,0.9960000000000004
40,-49.5,0.9959000000000005
41,-60.5,0.9958000000000005
42,-48.5,0.9957000000000005
43,-38.0,0.9956000000000005
44,-63.0,0.9955000000000005
45,-54.5,0.9954000000000005
46,-38.0,0.9953000000000005
47,-26.5,0.9952000000000005
48,-92.0,0.9951000000000005
49,-73.5,0.9950000000000006
50,-63.5,0.9949000000000006
51,-54.0,0.9948000000000006
52,-60.0,0.9947000000000006
53,-20.5,0.9946000000000006
54,-37.0,0.9945000000000006
55,-48.5,0.9944000000000006
56,-50.0,0.9943000000000006
57,-33.5,0.9942000000000006
58,-35.5,0.9941000000000006
59,-59.0,0.9940000000000007
60,-24.5,0.9939000000000007
61,-52.0,0.9938000000000007
62,-65.5,0.9937000000000007
63,-38.0,0.9936000000000007
64,-63.0,0.9935000000000007
65,-32.5,0.9934000000000007
66,-51.0,0.9933000000000007
67,-21.5,0.9932000000000007
68,-22.5,0.9931000000000008
69,-60.5,0.9930000000000008
70,-69.5,0.9929000000000008
71,-27.5,0.9928000000000008
72,-55.0,0.9927000000000008
73,-52.0,0.9926000000000008
74,-56.5,0.9925000000000008
75,-44.0,0.9924000000000008
76,-27.5,0.9923000000000008
77,-71.0,0.9922000000000009
78,-27.5,0.9921000000000009
79,-48.0,0.9920000000000009
80,-31.0,0.9919000000000009
81,-57.5,0.9918000000000009
82,-32.5,0.9917000000000009
83,-51.5,0.9916000000000009
84,-54.0,0.9915000000000009
85,-46.5,0.991400000000001
86,-53.5,0.991300000000001
87,-27.5,0.991200000000001
88,-40.0,0.991100000000001
89,-37.5,0.991000000000001
90,-33.5,0.990900000000001
91,-66.5,0.990800000000001
92,-63.0,0.990700000000001
93,-34.5,0.990600000000001
94,-37.5,0.990500000000001
95,-24.0,0.9904000000000011
96,-64.0,0.9903000000000011
97,-44.0,0.9902000000000011
98,-41.0,0.9901000000000011
99,-61.0,0.9900000000000011
100,-28.5,0.9899000000000011
101,-22.5,0.9898000000000011
102,-76.5,0.9897000000000011
103,-44.0,0.9896000000000011
104,-56.0,0.9895000000000012
105,-38.5,0.9894000000000012
106,-48.0,0.9893000000000012
107,-65.0,0.9892000000000012
108,-55.5,0.9891000000000012
109,-21.5,0.9890000000000012
110,-38.5,0.9889000000000012
111,-46.5,0.9888000000000012
112,-57.0,0.9887000000000012
113,-38.5,0.9886000000000013
114,-70.5,0.9885000000000013
115,-46.5,0.9884000000000013
116,-66.0,0.9883000000000013
117,-55.5,0.9882000000000013
118,-42.0,0.9881000000000013
119,-60.0,0.9880000000000013
120,-56.0,0.9879000000000013
121,-60.5,0.9878000000000013
122,-67.5,0.9877000000000014
123,-29.0,0.9876000000000014
124,-37.5,0.9875000000000014
125,-58.5,0.9874000000000014
126,-45.5,0.9873000000000014
127,-19.5,0.9872000000000014
128,-71.0,0.9871000000000014
129,-51.5,0.9870000000000014
130,-53.5,0.9869000000000014
131,-5.0,0.9868000000000015
132,-55.5,0.9867000000000015
133,-46.5,0.9866000000000015
134,-28.5,0.9865000000000015
135,-64.5,0.9864000000000015
136,-88.5,0.9863000000000015
137,-48.0,0.9862000000000015
138,-23.5,0.9861000000000015
139,-52.0,0.9860000000000015
140,-63.5,0.9859000000000016
141,-63.5,0.9858000000000016
142,-51.0,0.9857000000000016
