episode,rewards_epi,epsilon
0,-42.0,0.05
1,-22.0,0.05
2,-22.0,0.05
3,-57.0,0.05
4,-22.5,0.05
5,-22.0,0.05
6,-23.5,0.05
7,-26.0,0.05
8,-17.5,0.05
9,-24.5,0.05
10,-20.0,0.05
11,-28.5,0.05
12,-19.5,0.05
13,-19.0,0.05
14,-37.0,0.05
15,-17.5,0.05
16,-26.5,0.05
17,-37.5,0.05
18,-34.0,0.05
19,-38.0,0.05
20,-25.5,0.05
21,-30.0,0.05
22,-21.5,0.05
23,-18.5,0.05
24,-21.5,0.05
25,-22.5,0.05
26,-23.0,0.05
27,-22.0,0.05
28,-19.5,0.05
29,-23.5,0.05
30,-20.5,0.05
31,-24.5,0.05
32,-17.5,0.05
33,-20.0,0.05
34,-2.5,0.05
35,0.0,0.05
36,-21.0,0.05
37,-17.5,0.05
38,-21.5,0.05
39,-20.0,0.05
40,-15.5,0.05
41,-16.5,0.05
42,-23.5,0.05
43,-20.5,0.05
44,-22.0,0.05
45,-17.0,0.05
46,-32.0,0.05
47,-19.5,0.05
48,-18.0,0.05
49,-5.5,0.05
50,-14.0,0.05
51,-33.0,0.05
52,-26.0,0.05
53,-24.0,0.05
54,-18.5,0.05
55,-30.5,0.05
56,-11.5,0.05
57,-11.5,0.05
58,-8.5,0.05
59,-24.5,0.05
60,-24.0,0.05
61,-18.5,0.05
62,-20.5,0.05
63,-8.5,0.05
64,-25.0,0.05
65,-21.0,0.05
66,-21.5,0.05
67,-24.0,0.05
68,-26.0,0.05
69,-20.5,0.05
70,-20.0,0.05
71,-15.0,0.05
72,-42.0,0.05
73,-14.0,0.05
74,-16.0,0.05
75,-19.0,0.05
76,-33.5,0.05
77,-17.0,0.05
78,-23.0,0.05
79,-15.0,0.05
80,-31.5,0.05
81,-23.5,0.05
82,-21.0,0.05
83,-12.5,0.05
84,-18.0,0.05
85,-23.5,0.05
86,-21.5,0.05
87,-18.0,0.05
88,-34.5,0.05
89,-19.0,0.05
90,-24.0,0.05
91,-22.5,0.05
92,-29.5,0.05
93,-54.0,0.05
94,-34.0,0.05
95,-20.5,0.05
96,-18.5,0.05
97,-20.5,0.05
98,-24.0,0.05
99,-21.0,0.05
100,-20.0,0.05
101,-20.5,0.05
102,-27.5,0.05
103,-19.5,0.05
104,-33.5,0.05
105,-16.5,0.05
106,-19.0,0.05
107,-10.0,0.05
108,-16.5,0.05
109,-14.5,0.05
110,-17.0,0.05
111,-22.0,0.05
112,-18.0,0.05
113,-19.0,0.05
114,-11.0,0.05
115,-19.0,0.05
116,-6.5,0.05
117,-10.0,0.05
118,-34.5,0.05
119,-45.5,0.05
120,-23.5,0.05
121,-22.0,0.05
122,-18.0,0.05
123,-23.0,0.05
124,-23.0,0.05
125,-34.0,0.05
126,-14.5,0.05
127,-20.0,0.05
128,-19.0,0.05
129,-30.0,0.05
130,-16.0,0.05
131,-5.5,0.05
132,-5.5,0.05
133,-24.0,0.05
134,-22.5,0.05
135,-19.5,0.05
136,-17.0,0.05
137,-23.5,0.05
138,-16.5,0.05
139,-18.5,0.05
140,-20.0,0.05
141,-17.5,0.05
142,-19.5,0.05
143,-16.5,0.05
144,-13.0,0.05
145,-18.0,0.05
146,-19.0,0.05
147,-17.0,0.05
148,-23.0,0.05
149,-22.0,0.05
150,-7.5,0.05
151,-5.5,0.05
152,-22.0,0.05
153,-18.5,0.05
154,-18.0,0.05
155,-17.5,0.05
156,-19.0,0.05
157,-7.5,0.05
158,-19.5,0.05
159,-16.5,0.05
160,-18.5,0.05
161,-19.5,0.05
162,-16.5,0.05
163,-18.5,0.05
164,-16.5,0.05
165,-17.0,0.05
166,-18.0,0.05
167,-9.5,0.05
168,-27.0,0.05
169,-16.0,0.05
170,-27.0,0.05
171,-20.5,0.05
172,-5.0,0.05
173,-21.5,0.05
174,-17.5,0.05
175,-26.0,0.05
176,-18.5,0.05
177,-12.5,0.05
178,-18.5,0.05
179,-16.0,0.05
180,-13.5,0.05
181,-21.0,0.05
182,-19.5,0.05
183,-20.5,0.05
184,-17.5,0.05
185,-14.0,0.05
186,-2.0,0.05
187,-9.5,0.05
188,-16.0,0.05
189,-6.5,0.05
190,-22.0,0.05
191,-4.5,0.05
192,-33.0,0.05
193,-18.0,0.05
194,-17.5,0.05
195,-10.5,0.05
196,-16.0,0.05
197,-18.5,0.05
198,-11.5,0.05
199,-44.0,0.05
200,-19.0,0.05
201,-16.0,0.05
202,-17.5,0.05
203,-6.5,0.05
204,-5.0,0.05
205,-20.5,0.05
206,-24.0,0.05
207,-20.5,0.05
208,-18.5,0.05
209,-3.0,0.05
210,-16.0,0.05
211,-19.5,0.05
212,-2.5,0.05
213,-17.5,0.05
214,-18.0,0.05
215,-6.0,0.05
216,-18.5,0.05
217,-1.0,0.05
218,-4.0,0.05
219,-20.5,0.05
220,-19.0,0.05
221,-16.5,0.05
222,-8.0,0.05
223,-20.5,0.05
224,-17.0,0.05
225,-16.0,0.05
226,-34.0,0.05
227,-13.5,0.05
228,-16.0,0.05
229,-21.0,0.05
230,-19.0,0.05
231,-25.5,0.05
232,-16.0,0.05
233,-19.5,0.05
234,-16.0,0.05
235,-20.0,0.05
236,-33.0,0.05
237,-29.0,0.05
238,-21.5,0.05
239,-17.0,0.05
240,-17.5,0.05
241,-22.0,0.05
242,-20.0,0.05
243,-13.5,0.05
244,-1.0,0.05
245,-1.0,0.05
246,-2.5,0.05
247,-15.5,0.05
248,-21.0,0.05
249,-25.5,0.05
250,-19.5,0.05
251,-17.5,0.05
252,-11.0,0.05
253,-17.0,0.05
254,-12.5,0.05
255,-0.5,0.05
256,-12.5,0.05
257,-5.0,0.05
258,0.5,0.05
259,-29.0,0.05
260,-20.0,0.05
261,-19.0,0.05
262,-6.0,0.05
263,-18.5,0.05
264,-20.0,0.05
265,-15.0,0.05
266,-19.0,0.05
267,-7.0,0.05
268,-19.5,0.05
269,-17.0,0.05
270,-11.0,0.05
271,-1.5,0.05
272,-20.5,0.05
273,-2.0,0.05
274,-7.0,0.05
275,-3.0,0.05
276,-15.0,0.05
277,-12.5,0.05
278,-19.5,0.05
279,-19.5,0.05
280,-1.5,0.05
281,-20.0,0.05
282,-19.0,0.05
283,-20.5,0.05
284,-7.0,0.05
285,-7.5,0.05
286,-6.5,0.05
287,-21.0,0.05
288,-2.0,0.05
289,-11.0,0.05
290,-24.0,0.05
291,-20.5,0.05
292,-20.5,0.05
293,-1.0,0.05
294,-3.0,0.05
295,-19.0,0.05
296,-22.5,0.05
297,-2.5,0.05
298,-4.0,0.05
299,-6.0,0.05
300,-6.0,0.05
301,-1.5,0.05
302,-16.5,0.05
303,-11.5,0.05
304,-3.5,0.05
305,-4.0,0.05
306,-18.5,0.05
307,-4.5,0.05
308,-4.0,0.05
309,-6.5,0.05
310,-3.5,0.05
311,-1.0,0.05
312,-7.0,0.05
313,-8.0,0.05
314,-10.5,0.05
315,-8.0,0.05
