episode,rewards_epi,epsilon
0,-3.5,0.05
1,-37.0,0.05
2,-55.5,0.05
3,-50.5,0.05
4,-22.5,0.05
5,-25.0,0.05
6,-21.0,0.05
7,-21.5,0.05
8,-21.5,0.05
9,-34.0,0.05
10,-34.0,0.05
11,-23.5,0.05
12,-49.5,0.05
13,-29.5,0.05
14,-25.0,0.05
15,-20.5,0.05
16,-25.0,0.05
17,-20.0,0.05
18,-19.0,0.05
19,-14.0,0.05
20,-48.0,0.05
21,-37.5,0.05
22,-24.5,0.05
23,-24.5,0.05
24,-21.0,0.05
25,-21.0,0.05
26,-9.0,0.05
27,-20.0,0.05
28,-24.0,0.05
29,-23.0,0.05
30,-23.5,0.05
31,-21.5,0.05
32,-30.5,0.05
33,-20.5,0.05
34,-21.0,0.05
35,-15.5,0.05
36,-20.0,0.05
37,-21.0,0.05
38,-19.0,0.05
39,-18.5,0.05
40,-24.0,0.05
41,-23.5,0.05
42,-24.0,0.05
43,-16.5,0.05
44,-20.5,0.05
45,-22.5,0.05
46,-2.0,0.05
47,-23.5,0.05
48,-22.0,0.05
49,-19.5,0.05
50,-27.0,0.05
51,-17.0,0.05
52,-21.0,0.05
53,-8.0,0.05
54,-19.5,0.05
55,-18.5,0.05
56,-14.0,0.05
57,-24.0,0.05
58,-17.5,0.05
59,-43.0,0.05
60,-22.5,0.05
61,-23.0,0.05
62,-17.5,0.05
63,-25.5,0.05
64,-21.0,0.05
65,-20.5,0.05
66,-26.0,0.05
67,-17.0,0.05
68,-12.5,0.05
69,-13.0,0.05
70,-42.0,0.05
71,-23.5,0.05
72,-26.5,0.05
73,-20.5,0.05
74,-22.5,0.05
75,-15.0,0.05
76,-19.0,0.05
77,-14.5,0.05
78,-12.0,0.05
79,-21.5,0.05
80,-26.0,0.05
81,-14.5,0.05
82,-20.5,0.05
83,-23.5,0.05
84,-21.0,0.05
85,-17.5,0.05
86,-16.5,0.05
87,-17.0,0.05
88,-19.0,0.05
89,-18.0,0.05
90,-22.0,0.05
91,-20.0,0.05
92,-17.0,0.05
93,-16.0,0.05
94,-11.5,0.05
95,-13.5,0.05
96,-19.0,0.05
97,-18.5,0.05
98,-17.5,0.05
99,-23.5,0.05
100,-15.5,0.05
101,-22.0,0.05
102,-16.5,0.05
103,-24.5,0.05
104,-16.5,0.05
105,-20.0,0.05
106,-20.0,0.05
107,-15.5,0.05
108,-23.0,0.05
109,-18.0,0.05
110,-19.0,0.05
111,-21.5,0.05
112,-17.5,0.05
113,-19.0,0.05
114,-18.0,0.05
115,-18.0,0.05
116,-14.0,0.05
117,-13.0,0.05
118,-22.0,0.05
119,-20.0,0.05
120,-18.0,0.05
121,-22.5,0.05
122,-18.5,0.05
123,-21.5,0.05
124,-20.0,0.05
125,-24.0,0.05
126,-21.5,0.05
127,-19.5,0.05
128,-22.5,0.05
129,-19.5,0.05
130,-19.5,0.05
131,-14.0,0.05
132,-9.0,0.05
133,-0.5,0.05
134,-9.5,0.05
135,-17.5,0.05
136,-8.0,0.05
137,-2.5,0.05
138,-18.5,0.05
139,-12.0,0.05
140,0.5,0.05
141,-3.5,0.05
142,-16.5,0.05
143,-5.5,0.05
144,-4.5,0.05
145,-20.5,0.05
146,-2.0,0.05
147,-2.0,0.05
148,-0.5,0.05
149,-12.5,0.05
150,-9.0,0.05
151,-8.0,0.05
152,-2.5,0.05
153,-4.0,0.05
154,-4.5,0.05
155,-41.5,0.05
156,-3.5,0.05
157,-9.0,0.05
158,-2.5,0.05
159,-24.5,0.05
160,-2.0,0.05
161,0.0,0.05
162,-14.0,0.05
163,-2.0,0.05
164,-6.5,0.05
165,-1.0,0.05
166,0.0,0.05
167,-12.5,0.05
168,-16.0,0.05
169,-4.0,0.05
170,-12.0,0.05
171,-7.5,0.05
172,-5.5,0.05
173,-15.0,0.05
174,-18.5,0.05
175,-5.0,0.05
176,-6.5,0.05
177,-5.5,0.05
178,-2.5,0.05
179,-3.5,0.05
180,-8.5,0.05
181,-0.5,0.05
182,-9.0,0.05
183,-13.5,0.05
184,-15.0,0.05
185,-3.0,0.05
186,-3.5,0.05
187,-7.0,0.05
188,-3.5,0.05
189,-6.0,0.05
190,-17.5,0.05
191,0.0,0.05
192,-5.5,0.05
193,-20.0,0.05
194,-0.5,0.05
195,-27.0,0.05
196,-2.0,0.05
197,-2.5,0.05
198,-2.5,0.05
199,0.0,0.05
200,-3.5,0.05
201,-3.5,0.05
202,-3.5,0.05
203,-6.0,0.05
204,-5.5,0.05
205,0.0,0.05
206,-3.0,0.05
207,-0.5,0.05
208,-7.0,0.05
209,0.0,0.05
210,-5.5,0.05
211,-1.0,0.05
212,-3.5,0.05
213,-3.5,0.05
214,-2.0,0.05
215,-1.5,0.05
216,0.0,0.05
217,0.0,0.05
218,-8.5,0.05
219,-3.0,0.05
220,-2.0,0.05
221,-1.0,0.05
222,-1.0,0.05
223,-4.0,0.05
224,0.5,0.05
225,-3.5,0.05
226,-6.0,0.05
227,-4.5,0.05
228,-3.0,0.05
229,0.5,0.05
230,-3.5,0.05
231,-8.0,0.05
232,-4.0,0.05
233,-3.0,0.05
234,-20.0,0.05
235,-1.5,0.05
236,-3.5,0.05
237,-6.0,0.05
238,-2.0,0.05
239,-1.0,0.05
240,-0.5,0.05
241,-3.5,0.05
242,-9.0,0.05
243,-7.5,0.05
244,0.0,0.05
245,-6.0,0.05
246,-2.0,0.05
247,-2.5,0.05
248,-0.5,0.05
249,-20.0,0.05
250,-1.5,0.05
251,0.0,0.05
252,-1.5,0.05
253,-5.0,0.05
254,-15.5,0.05
255,-16.0,0.05
256,-17.0,0.05
257,-6.0,0.05
258,-6.5,0.05
259,-5.5,0.05
260,-9.5,0.05
261,-2.0,0.05
262,-13.0,0.05
263,-4.5,0.05
264,-14.5,0.05
265,-4.5,0.05
266,-5.0,0.05
267,-5.5,0.05
268,-4.5,0.05
269,-5.0,0.05
