episode,rewards_epi,epsilon
0,-42.0,0.05
1,-2.0,0.05
2,2.0,0.05
3,1.0,0.05
4,2.0,0.05
5,1.5,0.05
6,1.0,0.05
7,1.5,0.05
8,2.0,0.05
9,2.0,0.05
10,2.0,0.05
11,1.5,0.05
12,1.0,0.05
13,-5.0,0.05
14,0.5,0.05
15,2.0,0.05
16,-0.5,0.05
17,1.5,0.05
18,1.0,0.05
19,2.0,0.05
20,1.0,0.05
21,2.0,0.05
22,2.0,0.05
23,1.5,0.05
24,-1.5,0.05
25,-7.0,0.05
26,0.0,0.05
27,-1.0,0.05
28,2.0,0.05
29,2.0,0.05
30,2.0,0.05
31,0.0,0.05
32,2.0,0.05
33,-2.0,0.05
34,1.5,0.05
35,1.5,0.05
36,1.5,0.05
37,2.0,0.05
38,2.0,0.05
39,-4.5,0.05
40,2.0,0.05
41,2.0,0.05
42,2.0,0.05
43,2.0,0.05
44,1.5,0.05
45,1.5,0.05
46,2.0,0.05
47,1.5,0.05
48,2.0,0.05
49,0.5,0.05
50,1.5,0.05
51,2.0,0.05
52,1.0,0.05
53,1.5,0.05
54,0.0,0.05
55,0.0,0.05
56,1.0,0.05
57,1.5,0.05
58,2.0,0.05
59,1.5,0.05
60,2.0,0.05
61,2.0,0.05
62,1.5,0.05
63,2.0,0.05
64,1.5,0.05
65,2.0,0.05
66,1.5,0.05
67,2.0,0.05
68,2.0,0.05
69,2.0,0.05
70,2.0,0.05
71,1.5,0.05
72,1.5,0.05
73,2.0,0.05
74,0.0,0.05
75,2.0,0.05
76,0.5,0.05
77,1.0,0.05
78,1.5,0.05
79,1.5,0.05
80,2.0,0.05
81,1.5,0.05
82,2.0,0.05
83,2.0,0.05
84,1.0,0.05
85,2.0,0.05
86,1.5,0.05
87,1.5,0.05
88,1.5,0.05
89,2.0,0.05
90,2.0,0.05
91,2.0,0.05
92,2.0,0.05
93,2.0,0.05
94,0.5,0.05
95,0.0,0.05
96,2.0,0.05
97,2.0,0.05
98,2.0,0.05
99,0.0,0.05
100,2.0,0.05
101,2.0,0.05
102,2.0,0.05
103,2.0,0.05
104,1.5,0.05
105,2.0,0.05
106,2.0,0.05
107,2.0,0.05
108,2.0,0.05
109,2.0,0.05
110,2.0,0.05
111,1.5,0.05
112,2.0,0.05
113,1.5,0.05
114,1.0,0.05
115,1.5,0.05
116,2.0,0.05
117,1.0,0.05
118,1.5,0.05
119,2.0,0.05
120,1.0,0.05
121,0.5,0.05
122,1.5,0.05
123,2.0,0.05
124,2.0,0.05
125,-1.0,0.05
126,2.0,0.05
127,1.5,0.05
128,1.5,0.05
129,1.5,0.05
130,1.5,0.05
131,2.0,0.05
132,2.0,0.05
133,1.0,0.05
134,1.5,0.05
135,2.0,0.05
136,1.5,0.05
137,2.0,0.05
138,1.5,0.05
139,-2.0,0.05
140,1.5,0.05
141,1.5,0.05
142,0.5,0.05
143,0.0,0.05
144,2.0,0.05
145,0.5,0.05
146,2.0,0.05
147,1.5,0.05
148,2.0,0.05
149,1.5,0.05
150,1.5,0.05
151,0.0,0.05
152,1.0,0.05
153,1.5,0.05
154,1.0,0.05
155,1.0,0.05
156,2.0,0.05
157,1.5,0.05
158,1.5,0.05
159,1.5,0.05
160,1.0,0.05
161,2.0,0.05
162,1.5,0.05
163,2.0,0.05
164,1.0,0.05
165,2.0,0.05
166,2.0,0.05
167,2.0,0.05
168,1.5,0.05
169,1.0,0.05
170,2.0,0.05
171,2.0,0.05
172,2.0,0.05
173,0.5,0.05
174,1.5,0.05
175,1.5,0.05
176,1.5,0.05
177,1.5,0.05
178,2.0,0.05
179,1.5,0.05
180,1.5,0.05
181,2.0,0.05
182,1.5,0.05
183,1.5,0.05
184,2.0,0.05
185,1.0,0.05
186,0.5,0.05
187,2.0,0.05
188,2.0,0.05
189,2.0,0.05
190,1.5,0.05
191,2.0,0.05
192,2.0,0.05
193,2.0,0.05
194,1.5,0.05
195,1.5,0.05
196,2.0,0.05
197,2.0,0.05
198,2.0,0.05
199,2.0,0.05
200,1.0,0.05
201,2.0,0.05
202,1.0,0.05
203,2.0,0.05
204,1.5,0.05
205,0.0,0.05
206,2.0,0.05
207,2.0,0.05
208,1.0,0.05
209,2.0,0.05
210,1.5,0.05
211,2.0,0.05
212,1.0,0.05
213,2.0,0.05
214,1.5,0.05
215,2.0,0.05
216,2.0,0.05
217,2.0,0.05
218,1.0,0.05
219,2.0,0.05
220,1.0,0.05
221,2.0,0.05
222,2.0,0.05
223,2.0,0.05
224,1.0,0.05
225,2.0,0.05
226,1.0,0.05
227,2.0,0.05
228,1.5,0.05
229,0.5,0.05
230,2.0,0.05
231,1.5,0.05
232,1.5,0.05
233,2.0,0.05
234,2.0,0.05
235,1.5,0.05
236,2.0,0.05
237,1.5,0.05
238,2.0,0.05
239,2.0,0.05
240,1.5,0.05
241,2.0,0.05
242,1.5,0.05
243,1.5,0.05
244,2.0,0.05
245,1.5,0.05
246,1.5,0.05
247,2.0,0.05
248,2.0,0.05
249,1.0,0.05
250,2.0,0.05
251,2.0,0.05
252,2.0,0.05
253,1.5,0.05
254,2.0,0.05
255,2.0,0.05
256,2.0,0.05
257,1.5,0.05
258,2.0,0.05
259,0.0,0.05
260,1.0,0.05
261,0.0,0.05
262,1.0,0.05
263,2.0,0.05
264,2.0,0.05
265,2.0,0.05
266,2.0,0.05
267,1.5,0.05
268,1.0,0.05
269,2.0,0.05
270,2.0,0.05
271,2.0,0.05
272,1.5,0.05
273,1.5,0.05
274,2.0,0.05
275,2.0,0.05
276,1.5,0.05
277,2.0,0.05
278,2.0,0.05
279,1.0,0.05
280,1.0,0.05
281,1.5,0.05
282,1.5,0.05
283,2.0,0.05
284,2.0,0.05
285,2.0,0.05
286,2.0,0.05
287,2.0,0.05
288,2.0,0.05
289,2.0,0.05
290,2.0,0.05
291,1.5,0.05
292,1.5,0.05
293,1.5,0.05
294,1.5,0.05
295,1.5,0.05
296,0.5,0.05
297,1.5,0.05
298,2.0,0.05
299,1.5,0.05
300,2.0,0.05
301,2.0,0.05
302,2.0,0.05
303,1.0,0.05
304,1.0,0.05
305,1.0,0.05
306,2.0,0.05
307,1.5,0.05
308,2.0,0.05
309,2.0,0.05
310,2.0,0.05
311,1.5,0.05
312,1.5,0.05
313,2.0,0.05
314,-1.5,0.05
315,0.5,0.05
316,1.5,0.05
317,1.5,0.05
318,2.0,0.05
319,2.0,0.05
320,2.0,0.05
321,2.0,0.05
322,2.0,0.05
323,1.5,0.05
324,2.0,0.05
325,2.0,0.05
326,0.0,0.05
327,0.0,0.05
328,2.0,0.05
329,2.0,0.05
330,2.0,0.05
331,1.5,0.05
332,0.5,0.05
333,2.0,0.05
334,2.0,0.05
335,1.0,0.05
336,1.5,0.05
337,2.0,0.05
338,2.0,0.05
339,2.0,0.05
340,2.0,0.05
341,2.0,0.05
342,1.0,0.05
343,0.5,0.05
344,2.0,0.05
345,1.0,0.05
346,2.0,0.05
347,2.0,0.05
