episode,rewards_epi,epsilon
0,-101.5,0.8999
1,-269.5,0.8998
2,-279.5,0.8997
3,-158.0,0.8996000000000001
4,-125.0,0.8995000000000001
5,-229.0,0.8994000000000001
6,-68.0,0.8993000000000001
7,-248.0,0.8992000000000001
8,-116.0,0.8991000000000001
9,-60.5,0.8990000000000001
10,-119.5,0.8989000000000001
11,-343.5,0.8988000000000002
12,-54.5,0.8987000000000002
13,-238.0,0.8986000000000002
14,-291.5,0.8985000000000002
15,-283.5,0.8984000000000002
16,-98.5,0.8983000000000002
17,-166.0,0.8982000000000002
18,-287.5,0.8981000000000002
19,-107.0,0.8980000000000002
20,-226.5,0.8979000000000003
21,-126.5,0.8978000000000003
22,-287.0,0.8977000000000003
23,-98.5,0.8976000000000003
24,-76.0,0.8975000000000003
25,-146.0,0.8974000000000003
26,-167.0,0.8973000000000003
27,-306.0,0.8972000000000003
28,-14.0,0.8971000000000003
29,-246.5,0.8970000000000004
30,-267.0,0.8969000000000004
31,-270.5,0.8968000000000004
32,-46.0,0.8967000000000004
33,-259.0,0.8966000000000004
34,-276.5,0.8965000000000004
35,-251.5,0.8964000000000004
36,-206.5,0.8963000000000004
37,-73.5,0.8962000000000004
38,-78.5,0.8961000000000005
39,-133.5,0.8960000000000005
40,-308.0,0.8959000000000005
41,-284.5,0.8958000000000005
42,-76.5,0.8957000000000005
43,-57.0,0.8956000000000005
44,-43.5,0.8955000000000005
45,-62.0,0.8954000000000005
46,-125.5,0.8953000000000005
47,-83.5,0.8952000000000006
48,-115.5,0.8951000000000006
49,-116.5,0.8950000000000006
50,-100.0,0.8949000000000006
51,-53.5,0.8948000000000006
52,-204.0,0.8947000000000006
53,-87.5,0.8946000000000006
54,-123.5,0.8945000000000006
55,-103.0,0.8944000000000006
56,-48.0,0.8943000000000006
57,-177.5,0.8942000000000007
58,-69.5,0.8941000000000007
59,-73.5,0.8940000000000007
60,-263.5,0.8939000000000007
61,-225.5,0.8938000000000007
62,-238.5,0.8937000000000007
63,-254.0,0.8936000000000007
64,-189.5,0.8935000000000007
65,-213.0,0.8934000000000007
66,-121.0,0.8933000000000008
67,-217.5,0.8932000000000008
68,-199.0,0.8931000000000008
69,-278.0,0.8930000000000008
70,-69.0,0.8929000000000008
71,-328.0,0.8928000000000008
72,-238.0,0.8927000000000008
73,-81.5,0.8926000000000008
74,-162.5,0.8925000000000008
75,-42.5,0.8924000000000009
76,-315.5,0.8923000000000009
77,-46.5,0.8922000000000009
78,-220.0,0.8921000000000009
79,-139.5,0.8920000000000009
80,-173.5,0.8919000000000009
81,-167.5,0.8918000000000009
82,-198.0,0.8917000000000009
83,-342.5,0.891600000000001
84,-200.0,0.891500000000001
85,-86.0,0.891400000000001
86,-90.5,0.891300000000001
87,-214.0,0.891200000000001
88,-72.0,0.891100000000001
89,-208.0,0.891000000000001
90,-243.5,0.890900000000001
91,-254.5,0.890800000000001
92,-97.0,0.890700000000001
93,-158.0,0.8906000000000011
94,-41.0,0.8905000000000011
95,-288.0,0.8904000000000011
96,-51.5,0.8903000000000011
97,-53.0,0.8902000000000011
98,-95.0,0.8901000000000011
99,-56.5,0.8900000000000011
100,-78.5,0.8899000000000011
101,-145.5,0.8898000000000011
102,-116.0,0.8897000000000012
103,-73.0,0.8896000000000012
104,-96.5,0.8895000000000012
105,-159.5,0.8894000000000012
106,-99.0,0.8893000000000012
107,-170.0,0.8892000000000012
108,-102.5,0.8891000000000012
109,-85.0,0.8890000000000012
110,-14.0,0.8889000000000012
111,-13.0,0.8888000000000013
112,-61.5,0.8887000000000013
113,-46.0,0.8886000000000013
114,-20.5,0.8885000000000013
115,-114.5,0.8884000000000013
116,-251.0,0.8883000000000013
117,-68.0,0.8882000000000013
118,-106.0,0.8881000000000013
119,-156.5,0.8880000000000013
120,-262.5,0.8879000000000014
121,-269.0,0.8878000000000014
122,-261.5,0.8877000000000014
123,-214.5,0.8876000000000014
124,-136.5,0.8875000000000014
125,-202.0,0.8874000000000014
126,-64.5,0.8873000000000014
127,-123.0,0.8872000000000014
128,-344.0,0.8871000000000014
129,-25.5,0.8870000000000015
130,-101.0,0.8869000000000015
131,-119.5,0.8868000000000015
132,-63.5,0.8867000000000015
133,-129.5,0.8866000000000015
134,-67.5,0.8865000000000015
135,-364.5,0.8864000000000015
136,-77.0,0.8863000000000015
137,-104.0,0.8862000000000015
138,-28.5,0.8861000000000016
139,-224.0,0.8860000000000016
140,-166.5,0.8859000000000016
141,-91.0,0.8858000000000016
142,-59.5,0.8857000000000016
143,-38.5,0.8856000000000016
144,-61.5,0.8855000000000016
145,-19.0,0.8854000000000016
146,-114.5,0.8853000000000016
147,-224.0,0.8852000000000017
148,-113.5,0.8851000000000017
149,-133.0,0.8850000000000017
150,-237.5,0.8849000000000017
151,-144.0,0.8848000000000017
152,-74.0,0.8847000000000017
153,-92.0,0.8846000000000017
154,-10.0,0.8845000000000017
155,-137.0,0.8844000000000017
156,-238.0,0.8843000000000018
157,-191.0,0.8842000000000018
158,-94.0,0.8841000000000018
159,-283.0,0.8840000000000018
160,-245.0,0.8839000000000018
161,-302.0,0.8838000000000018
162,-243.5,0.8837000000000018
163,-273.0,0.8836000000000018
164,-223.0,0.8835000000000018
165,-92.0,0.8834000000000019
166,-241.0,0.8833000000000019
167,-86.5,0.8832000000000019
168,-7.5,0.8831000000000019
169,-138.0,0.8830000000000019
170,-298.5,0.8829000000000019
171,-110.5,0.8828000000000019
172,-165.0,0.8827000000000019
173,-111.0,0.8826000000000019
174,-167.5,0.882500000000002
175,-132.0,0.882400000000002
176,-300.5,0.882300000000002
177,-185.0,0.882200000000002
