episode,rewards_epi,epsilon
0,-76.5,0.05
1,-137.5,0.05
2,-88.0,0.05
3,-41.0,0.05
4,-64.5,0.05
5,-108.5,0.05
6,-97.0,0.05
7,-66.0,0.05
8,-42.0,0.05
9,-12.0,0.05
10,-33.5,0.05
11,-1.5,0.05
12,-65.0,0.05
13,-127.5,0.05
14,-88.5,0.05
15,-29.5,0.05
16,-60.0,0.05
17,-5.5,0.05
18,-72.5,0.05
19,-24.0,0.05
20,-80.5,0.05
21,-52.0,0.05
22,-53.5,0.05
23,-141.0,0.05
24,-60.5,0.05
25,-10.0,0.05
26,-80.0,0.05
27,-35.5,0.05
28,-29.5,0.05
29,-52.5,0.05
30,-10.5,0.05
31,-17.5,0.05
32,-20.5,0.05
33,-2.5,0.05
34,-79.5,0.05
35,-85.0,0.05
36,-12.0,0.05
37,-90.5,0.05
38,-53.0,0.05
39,-61.5,0.05
40,-66.0,0.05
41,-15.0,0.05
42,-71.5,0.05
43,-68.5,0.05
44,-29.5,0.05
45,-43.5,0.05
46,-21.5,0.05
47,-85.0,0.05
48,-76.5,0.05
49,-23.5,0.05
50,-20.5,0.05
51,-2.5,0.05
52,-66.0,0.05
53,-1.5,0.05
54,-81.0,0.05
55,-5.5,0.05
56,-1.5,0.05
57,-19.5,0.05
58,-34.0,0.05
59,-91.0,0.05
60,-23.5,0.05
61,-13.5,0.05
62,-11.0,0.05
63,-22.0,0.05
64,-28.5,0.05
65,-21.0,0.05
66,-21.0,0.05
67,-3.5,0.05
68,-9.0,0.05
69,-13.5,0.05
70,-49.5,0.05
71,-21.0,0.05
72,-23.5,0.05
73,-15.0,0.05
74,-7.0,0.05
75,-9.0,0.05
76,0.0,0.05
77,-3.5,0.05
78,-9.0,0.05
79,-10.5,0.05
80,-22.0,0.05
81,-15.0,0.05
82,-10.0,0.05
83,-6.5,0.05
84,-3.5,0.05
85,-9.0,0.05
86,-2.5,0.05
87,-17.5,0.05
88,-6.5,0.05
89,-8.5,0.05
90,-6.0,0.05
91,-20.5,0.05
92,-7.0,0.05
93,-5.0,0.05
94,-1.5,0.05
95,-5.5,0.05
96,-4.0,0.05
97,-6.0,0.05
98,-10.0,0.05
99,0.0,0.05
100,-5.0,0.05
101,-3.5,0.05
102,-4.5,0.05
103,-9.0,0.05
104,-9.5,0.05
105,-6.5,0.05
106,-8.0,0.05
107,-11.0,0.05
108,-2.5,0.05
109,-10.0,0.05
110,-20.0,0.05
111,-6.0,0.05
112,-8.0,0.05
113,-3.5,0.05
114,-20.0,0.05
115,-7.0,0.05
116,-6.0,0.05
117,-30.0,0.05
118,-11.0,0.05
119,-6.5,0.05
120,-38.5,0.05
121,-0.5,0.05
122,-28.0,0.05
123,-4.5,0.05
124,-9.0,0.05
125,-3.0,0.05
126,-8.0,0.05
127,-20.0,0.05
