episode,rewards_epi,epsilon
0,-2.5,0.05
1,-48.5,0.05
2,-14.5,0.05
3,-22.0,0.05
4,-6.5,0.05
5,-25.5,0.05
6,-7.0,0.05
7,-21.0,0.05
8,-10.5,0.05
9,0.0,0.05
10,-6.0,0.05
11,-23.0,0.05
12,-12.0,0.05
13,-6.0,0.05
14,-3.0,0.05
15,-12.0,0.05
16,1.0,0.05
17,-1.0,0.05
18,2.0,0.05
19,0.5,0.05
20,1.0,0.05
21,2.0,0.05
22,1.0,0.05
23,-1.0,0.05
24,1.0,0.05
25,1.5,0.05
26,1.5,0.05
27,1.5,0.05
28,0.5,0.05
29,1.5,0.05
30,2.0,0.05
31,1.0,0.05
32,1.0,0.05
33,-2.5,0.05
34,-0.5,0.05
35,2.0,0.05
36,1.5,0.05
37,-3.0,0.05
38,1.5,0.05
39,2.0,0.05
40,2.0,0.05
41,2.0,0.05
42,2.0,0.05
43,2.0,0.05
44,1.5,0.05
45,1.0,0.05
46,2.0,0.05
47,0.0,0.05
48,1.5,0.05
49,-11.0,0.05
50,-14.0,0.05
51,-8.0,0.05
52,-10.0,0.05
53,-5.0,0.05
54,2.0,0.05
55,1.0,0.05
56,1.0,0.05
57,2.0,0.05
58,1.5,0.05
59,1.0,0.05
60,1.0,0.05
61,2.0,0.05
62,1.0,0.05
63,1.5,0.05
64,1.5,0.05
65,1.0,0.05
66,-3.0,0.05
67,1.0,0.05
68,2.0,0.05
69,1.0,0.05
70,2.0,0.05
71,1.5,0.05
72,2.0,0.05
73,2.0,0.05
74,1.0,0.05
75,1.0,0.05
76,1.0,0.05
77,1.0,0.05
78,1.0,0.05
79,1.5,0.05
80,1.5,0.05
81,2.0,0.05
82,2.0,0.05
83,2.0,0.05
84,1.0,0.05
85,0.5,0.05
86,1.5,0.05
87,0.5,0.05
88,1.0,0.05
89,1.0,0.05
90,0.0,0.05
91,1.0,0.05
92,1.5,0.05
93,1.5,0.05
94,0.0,0.05
95,-4.5,0.05
96,0.5,0.05
97,-1.5,0.05
98,0.5,0.05
99,1.5,0.05
100,1.5,0.05
101,1.0,0.05
102,1.0,0.05
103,2.0,0.05
104,1.5,0.05
105,0.0,0.05
106,-1.0,0.05
107,1.0,0.05
108,1.0,0.05
109,2.0,0.05
110,1.5,0.05
111,2.0,0.05
112,0.0,0.05
113,0.5,0.05
114,-8.0,0.05
115,-15.0,0.05
116,1.0,0.05
117,0.5,0.05
118,2.0,0.05
119,1.5,0.05
120,1.0,0.05
121,1.0,0.05
122,1.0,0.05
123,2.0,0.05
124,1.0,0.05
125,0.0,0.05
126,1.5,0.05
127,1.5,0.05
128,1.5,0.05
129,2.0,0.05
130,1.0,0.05
131,1.5,0.05
132,1.5,0.05
133,2.0,0.05
134,1.5,0.05
135,2.0,0.05
136,1.5,0.05
137,2.0,0.05
138,2.0,0.05
139,1.0,0.05
140,1.0,0.05
141,1.5,0.05
142,1.0,0.05
143,1.5,0.05
144,1.0,0.05
145,2.0,0.05
146,2.0,0.05
147,2.0,0.05
148,1.0,0.05
149,2.0,0.05
150,1.0,0.05
151,1.0,0.05
152,2.0,0.05
153,1.5,0.05
154,1.5,0.05
155,0.5,0.05
156,0.5,0.05
157,2.0,0.05
158,1.5,0.05
159,1.0,0.05
160,2.0,0.05
161,2.0,0.05
162,1.5,0.05
163,1.5,0.05
164,1.0,0.05
165,1.5,0.05
166,1.5,0.05
167,1.5,0.05
168,0.0,0.05
169,1.5,0.05
170,1.5,0.05
171,1.0,0.05
172,1.5,0.05
173,1.5,0.05
174,2.0,0.05
175,1.5,0.05
176,2.0,0.05
177,2.0,0.05
178,1.5,0.05
179,1.5,0.05
180,2.0,0.05
181,2.0,0.05
182,2.0,0.05
183,1.5,0.05
184,1.5,0.05
185,1.5,0.05
186,1.5,0.05
187,1.0,0.05
188,1.5,0.05
189,1.5,0.05
190,1.5,0.05
191,1.0,0.05
192,2.0,0.05
193,1.0,0.05
194,1.0,0.05
195,1.5,0.05
196,1.0,0.05
197,2.0,0.05
198,1.5,0.05
199,1.5,0.05
200,1.5,0.05
201,0.5,0.05
202,1.0,0.05
203,1.5,0.05
204,2.0,0.05
205,1.5,0.05
206,1.5,0.05
207,1.5,0.05
208,1.5,0.05
209,1.5,0.05
210,1.0,0.05
211,1.5,0.05
212,1.5,0.05
213,0.5,0.05
214,2.0,0.05
215,2.0,0.05
216,2.0,0.05
217,2.0,0.05
218,1.5,0.05
219,1.5,0.05
220,1.0,0.05
221,2.0,0.05
222,1.5,0.05
223,1.0,0.05
224,2.0,0.05
225,2.0,0.05
226,1.0,0.05
227,2.0,0.05
228,1.0,0.05
229,2.0,0.05
230,1.5,0.05
231,1.5,0.05
232,2.0,0.05
233,2.0,0.05
234,1.5,0.05
235,2.0,0.05
236,1.0,0.05
237,0.5,0.05
238,1.5,0.05
239,1.0,0.05
240,1.5,0.05
241,2.0,0.05
242,2.0,0.05
243,1.5,0.05
244,2.0,0.05
245,2.0,0.05
246,1.5,0.05
247,2.0,0.05
248,2.0,0.05
249,2.0,0.05
250,2.0,0.05
251,1.0,0.05
252,2.0,0.05
253,1.0,0.05
254,1.0,0.05
255,2.0,0.05
256,0.5,0.05
257,2.0,0.05
258,1.0,0.05
259,1.5,0.05
260,2.0,0.05
261,1.5,0.05
262,2.0,0.05
263,1.5,0.05
264,2.0,0.05
265,1.5,0.05
266,2.0,0.05
267,1.5,0.05
268,1.5,0.05
269,2.0,0.05
270,1.0,0.05
271,1.0,0.05
272,2.0,0.05
273,1.5,0.05
274,2.0,0.05
275,1.0,0.05
276,1.5,0.05
277,2.0,0.05
278,2.0,0.05
279,1.5,0.05
280,1.5,0.05
281,0.5,0.05
282,2.0,0.05
283,2.0,0.05
284,1.5,0.05
285,1.0,0.05
286,1.0,0.05
287,2.0,0.05
288,1.5,0.05
289,1.5,0.05
290,2.0,0.05
291,1.0,0.05
292,2.0,0.05
293,1.0,0.05
294,1.5,0.05
295,1.5,0.05
296,1.0,0.05
297,1.5,0.05
298,1.5,0.05
299,0.5,0.05
300,2.0,0.05
301,1.0,0.05
302,2.0,0.05
303,2.0,0.05
304,1.5,0.05
305,1.5,0.05
306,1.5,0.05
307,1.5,0.05
308,1.5,0.05
309,1.5,0.05
310,0.0,0.05
311,2.0,0.05
312,2.0,0.05
313,1.0,0.05
314,1.5,0.05
315,2.0,0.05
316,2.0,0.05
317,1.5,0.05
318,1.0,0.05
319,1.5,0.05
320,1.0,0.05
321,2.0,0.05
322,2.0,0.05
323,1.0,0.05
324,1.5,0.05
325,1.5,0.05
326,1.5,0.05
327,1.0,0.05
328,1.5,0.05
329,1.0,0.05
330,2.0,0.05
331,1.0,0.05
332,0.0,0.05
333,1.0,0.05
334,1.5,0.05
335,2.0,0.05
336,2.0,0.05
337,1.5,0.05
338,2.0,0.05
339,2.0,0.05
340,0.5,0.05
341,2.0,0.05
342,1.0,0.05
343,2.0,0.05
344,2.0,0.05
345,2.0,0.05
346,2.0,0.05
347,2.0,0.05
348,2.0,0.05
349,2.0,0.05
350,1.5,0.05
351,1.0,0.05
352,0.5,0.05
353,2.0,0.05
354,1.5,0.05
355,0.5,0.05
356,1.0,0.05
357,1.5,0.05
358,1.5,0.05
359,1.5,0.05
360,2.0,0.05
361,1.5,0.05
362,1.0,0.05
363,2.0,0.05
364,1.5,0.05
365,2.0,0.05
366,1.5,0.05
367,2.0,0.05
368,2.0,0.05
369,0.0,0.05
370,1.5,0.05
