episode,rewards_epi,epsilon
0,-23.5,0.9999
1,-13.0,0.9998
2,-2.0,0.9997
3,0.0,0.9996
4,-6.5,0.9995
5,-12.5,0.9994000000000001
6,-11.5,0.9993000000000001
7,-13.0,0.9992000000000001
8,-12.5,0.9991000000000001
9,-6.5,0.9990000000000001
10,-9.5,0.9989000000000001
11,-6.5,0.9988000000000001
12,-4.0,0.9987000000000001
13,1.0,0.9986000000000002
14,-7.0,0.9985000000000002
15,-11.5,0.9984000000000002
16,-21.5,0.9983000000000002
17,-14.0,0.9982000000000002
18,-4.5,0.9981000000000002
19,-13.0,0.9980000000000002
20,-4.5,0.9979000000000002
21,-11.0,0.9978000000000002
22,-9.0,0.9977000000000003
23,-12.5,0.9976000000000003
24,-5.0,0.9975000000000003
25,-6.5,0.9974000000000003
26,-13.5,0.9973000000000003
27,-9.5,0.9972000000000003
28,-9.0,0.9971000000000003
29,-12.5,0.9970000000000003
30,-8.0,0.9969000000000003
31,-5.0,0.9968000000000004
32,-8.5,0.9967000000000004
33,-10.5,0.9966000000000004
34,-15.5,0.9965000000000004
35,-10.5,0.9964000000000004
36,-9.0,0.9963000000000004
37,-7.5,0.9962000000000004
38,-13.5,0.9961000000000004
39,-15.5,0.9960000000000004
40,-22.0,0.9959000000000005
41,-15.5,0.9958000000000005
42,-14.0,0.9957000000000005
43,-0.5,0.9956000000000005
44,-19.0,0.9955000000000005
45,-9.5,0.9954000000000005
46,-17.5,0.9953000000000005
47,-10.5,0.9952000000000005
48,-21.5,0.9951000000000005
49,-15.5,0.9950000000000006
50,-14.5,0.9949000000000006
51,-15.5,0.9948000000000006
52,-20.0,0.9947000000000006
53,-5.0,0.9946000000000006
54,-7.0,0.9945000000000006
55,-17.5,0.9944000000000006
56,-13.5,0.9943000000000006
57,-8.0,0.9942000000000006
58,-0.5,0.9941000000000006
59,-11.5,0.9940000000000007
60,-20.5,0.9939000000000007
61,-2.5,0.9938000000000007
62,-0.5,0.9937000000000007
63,-11.0,0.9936000000000007
64,-11.5,0.9935000000000007
65,-13.5,0.9934000000000007
66,-8.5,0.9933000000000007
67,-15.0,0.9932000000000007
68,-10.5,0.9931000000000008
69,-6.5,0.9930000000000008
70,-23.0,0.9929000000000008
71,-17.0,0.9928000000000008
72,-17.0,0.9927000000000008
73,-11.5,0.9926000000000008
74,-9.5,0.9925000000000008
75,-18.0,0.9924000000000008
76,-15.5,0.9923000000000008
77,-20.5,0.9922000000000009
78,-9.5,0.9921000000000009
79,-20.5,0.9920000000000009
80,-5.0,0.9919000000000009
81,-11.0,0.9918000000000009
82,-7.5,0.9917000000000009
83,-8.5,0.9916000000000009
84,-10.0,0.9915000000000009
85,-12.5,0.991400000000001
86,-13.0,0.991300000000001
87,-11.0,0.991200000000001
88,-10.5,0.991100000000001
89,-8.0,0.991000000000001
90,-10.5,0.990900000000001
91,-10.0,0.990800000000001
92,-11.5,0.990700000000001
93,-5.0,0.990600000000001
94,-9.0,0.990500000000001
95,-9.0,0.9904000000000011
96,-11.0,0.9903000000000011
97,-2.0,0.9902000000000011
98,-14.5,0.9901000000000011
99,-8.5,0.9900000000000011
100,-9.0,0.9898000000000011
101,-8.0,0.9897000000000011
102,-19.0,0.9896000000000011
103,-7.0,0.9895000000000012
104,-3.0,0.9894000000000012
105,-1.5,0.9893000000000012
106,-16.5,0.9892000000000012
107,-7.5,0.9891000000000012
108,-13.5,0.9890000000000012
109,-12.0,0.9889000000000012
110,-16.5,0.9888000000000012
111,-9.5,0.9887000000000012
112,-12.5,0.9886000000000013
113,-8.5,0.9885000000000013
114,-1.5,0.9884000000000013
115,-6.0,0.9883000000000013
116,-8.5,0.9882000000000013
117,-7.0,0.9881000000000013
118,-30.5,0.9880000000000013
119,-10.5,0.9879000000000013
120,-20.0,0.9878000000000013
121,-10.5,0.9877000000000014
122,-20.0,0.9876000000000014
123,-9.0,0.9875000000000014
124,-11.5,0.9874000000000014
125,-10.0,0.9873000000000014
126,-2.0,0.9872000000000014
127,-26.0,0.9871000000000014
128,-8.5,0.9870000000000014
129,-12.0,0.9869000000000014
130,-12.5,0.9868000000000015
131,-7.0,0.9867000000000015
132,-8.5,0.9866000000000015
133,-15.5,0.9865000000000015
134,-13.5,0.9864000000000015
135,-11.0,0.9863000000000015
136,-7.5,0.9862000000000015
137,-6.5,0.9861000000000015
138,-7.5,0.9860000000000015
139,-8.5,0.9859000000000016
140,-10.5,0.9858000000000016
141,-10.5,0.9857000000000016
142,-7.0,0.9856000000000016
143,-8.0,0.9855000000000016
144,-14.5,0.9854000000000016
145,-5.0,0.9853000000000016
146,-4.0,0.9852000000000016
147,-28.0,0.9851000000000016
148,-9.0,0.9850000000000017
149,-8.5,0.9849000000000017
150,0.0,0.9848000000000017
151,-10.0,0.9847000000000017
152,-8.0,0.9846000000000017
153,-17.5,0.9845000000000017
154,-18.5,0.9844000000000017
155,-16.0,0.9843000000000017
156,-8.5,0.9842000000000017
157,-10.0,0.9841000000000018
158,-9.5,0.9840000000000018
159,-9.0,0.9839000000000018
160,-13.0,0.9838000000000018
161,-11.5,0.9837000000000018
162,-10.0,0.9836000000000018
163,-16.0,0.9835000000000018
164,-16.0,0.9834000000000018
165,-0.5,0.9833000000000018
166,-25.5,0.9832000000000019
167,-10.5,0.9831000000000019
168,-13.5,0.9830000000000019
169,-6.5,0.9829000000000019
170,-14.5,0.9828000000000019
171,-2.5,0.9827000000000019
172,-9.0,0.9826000000000019
173,-6.0,0.9825000000000019
174,-2.0,0.9824000000000019
175,-19.5,0.982300000000002
176,-1.5,0.982200000000002
177,-12.5,0.982100000000002
178,-7.0,0.982000000000002
179,-13.0,0.981900000000002
180,-6.5,0.981800000000002
181,-9.0,0.981700000000002
182,-8.0,0.981600000000002
183,-11.0,0.981500000000002
184,-4.5,0.981400000000002
185,-10.5,0.9813000000000021
186,-12.0,0.9812000000000021
187,-3.0,0.9811000000000021
188,-27.0,0.9810000000000021
189,-15.5,0.9809000000000021
190,-17.0,0.9808000000000021
191,-7.5,0.9807000000000021
192,-3.0,0.9806000000000021
193,-12.0,0.9805000000000021
194,-14.5,0.9804000000000022
195,-7.5,0.9803000000000022
196,-4.0,0.9802000000000022
197,-1.0,0.9801000000000022
198,-13.5,0.9800000000000022
