episode,rewards_epi,epsilon
0,-9.5,0.05
1,-8.5,0.05
2,-125.0,0.05
3,-192.5,0.05
4,-34.0,0.05
5,-197.5,0.05
6,-58.0,0.05
7,-17.5,0.05
8,-180.5,0.05
9,-45.5,0.05
10,-27.0,0.05
11,-17.0,0.05
12,-15.0,0.05
13,-102.0,0.05
14,-19.5,0.05
15,-17.5,0.05
16,-3.5,0.05
17,-78.0,0.05
18,-9.0,0.05
19,-44.0,0.05
20,-45.0,0.05
21,-172.5,0.05
22,-21.0,0.05
23,-92.0,0.05
24,-62.5,0.05
25,-32.0,0.05
26,-30.5,0.05
27,-26.5,0.05
28,-100.5,0.05
29,-62.5,0.05
30,-25.5,0.05
31,-10.5,0.05
32,-4.5,0.05
33,-11.5,0.05
34,-1.5,0.05
35,-20.5,0.05
36,-11.0,0.05
37,-36.0,0.05
38,-59.5,0.05
39,-46.0,0.05
40,-23.0,0.05
41,-11.5,0.05
42,-28.0,0.05
43,-30.5,0.05
44,-62.0,0.05
45,-35.5,0.05
46,-36.0,0.05
47,-33.0,0.05
48,-8.5,0.05
49,-20.0,0.05
50,-26.5,0.05
51,-161.5,0.05
52,-25.5,0.05
53,-31.5,0.05
54,-57.5,0.05
55,-12.0,0.05
56,-3.0,0.05
57,-13.5,0.05
58,-3.5,0.05
59,-30.0,0.05
60,-55.0,0.05
61,-28.5,0.05
62,-40.5,0.05
63,-11.5,0.05
64,-28.0,0.05
65,-66.5,0.05
66,-29.5,0.05
67,-30.5,0.05
68,-12.0,0.05
69,-13.0,0.05
70,-20.0,0.05
71,-3.5,0.05
72,-1.5,0.05
73,-7.0,0.05
74,-4.0,0.05
75,-4.0,0.05
76,-1.5,0.05
77,-3.5,0.05
78,-9.0,0.05
79,-6.5,0.05
80,-1.5,0.05
81,-2.5,0.05
82,-2.0,0.05
83,-3.0,0.05
84,-4.5,0.05
85,-0.5,0.05
86,-1.0,0.05
87,-0.5,0.05
88,-1.0,0.05
89,-4.0,0.05
90,-3.5,0.05
91,-5.0,0.05
92,-2.0,0.05
93,-2.0,0.05
94,0.0,0.05
95,-6.5,0.05
96,-4.0,0.05
97,-29.5,0.05
98,-11.5,0.05
99,-8.0,0.05
100,-6.0,0.05
101,-5.5,0.05
102,-9.0,0.05
103,-4.0,0.05
104,-8.0,0.05
105,-2.5,0.05
106,-1.5,0.05
107,-5.5,0.05
108,-4.5,0.05
109,-3.0,0.05
110,-2.5,0.05
111,-4.0,0.05
112,-4.5,0.05
113,-0.5,0.05
114,-3.0,0.05
115,-2.0,0.05
116,-4.5,0.05
117,-8.5,0.05
118,-5.5,0.05
119,-3.0,0.05
120,-1.5,0.05
121,-3.5,0.05
122,-2.5,0.05
123,-1.5,0.05
124,-4.0,0.05
125,-6.5,0.05
126,-1.0,0.05
127,-2.5,0.05
128,-4.5,0.05
129,-1.5,0.05
130,-2.5,0.05
131,-3.0,0.05
132,-3.5,0.05
133,-3.0,0.05
134,-2.0,0.05
135,-3.0,0.05
136,-0.5,0.05
137,-2.0,0.05
138,-5.0,0.05
139,-2.5,0.05
140,-5.5,0.05
141,-6.5,0.05
142,-4.0,0.05
143,-2.0,0.05
144,-7.5,0.05
145,-0.5,0.05
146,-2.5,0.05
147,-3.0,0.05
148,0.5,0.05
149,-11.0,0.05
150,-5.0,0.05
151,-4.5,0.05
152,-6.5,0.05
153,0.0,0.05
154,-4.5,0.05
155,-0.5,0.05
156,-2.0,0.05
157,-4.5,0.05
158,-3.0,0.05
159,-2.5,0.05
160,-0.5,0.05
161,-32.0,0.05
162,-4.5,0.05
163,-0.5,0.05
164,-4.5,0.05
165,-6.0,0.05
166,-1.5,0.05
167,-8.0,0.05
168,-2.5,0.05
169,-1.0,0.05
170,-1.0,0.05
171,-5.0,0.05
172,-5.5,0.05
173,-3.0,0.05
174,-1.5,0.05
175,-0.5,0.05
176,-4.0,0.05
177,-2.5,0.05
178,-1.0,0.05
179,-1.0,0.05
180,-9.5,0.05
181,-1.5,0.05
182,-5.0,0.05
183,-1.0,0.05
184,-3.0,0.05
185,-7.0,0.05
186,-2.5,0.05
187,-5.0,0.05
188,-8.0,0.05
189,-11.0,0.05
190,-3.5,0.05
191,-6.5,0.05
192,-6.0,0.05
193,-6.0,0.05
194,-1.0,0.05
195,-9.0,0.05
196,-6.0,0.05
197,-9.5,0.05
198,-8.5,0.05
199,-9.0,0.05
200,-5.0,0.05
201,-0.5,0.05
202,-6.5,0.05
203,-1.5,0.05
204,-8.5,0.05
205,-13.0,0.05
206,-7.0,0.05
207,-1.0,0.05
208,-2.0,0.05
209,-9.5,0.05
210,-3.0,0.05
211,-5.0,0.05
212,-13.0,0.05
213,-1.0,0.05
214,-5.0,0.05
215,-0.5,0.05
216,-2.5,0.05
217,-2.5,0.05
218,-1.5,0.05
219,-0.5,0.05
220,-19.5,0.05
221,-20.0,0.05
222,-0.5,0.05
223,-6.5,0.05
224,-1.5,0.05
225,-5.5,0.05
226,-3.0,0.05
227,-0.5,0.05
228,-3.5,0.05
229,-4.0,0.05
230,-4.5,0.05
231,-3.5,0.05
